Ld_con TotalCurrent(sat_dgate_tspace5) X,Ld_con TotalCurrent(sat_dgate_tspace5) Y
0,2.06382e-05
0.017,2.37004e-05
0.034,2.70097e-05
0.051,3.05637e-05
0.068,3.43599e-05
0.085,3.83961e-05
0.102,4.26704e-05
0.119,4.71817e-05
0.136,5.19296e-05
0.153,5.69153e-05
0.17,6.21408e-05
0.187,6.76101e-05
0.204,7.33284e-05
0.221,7.93032e-05
0.238,8.55436e-05
0.255,9.20613e-05
0.272,9.88701e-05
0.289,0.000105987
0.306,0.00011343
0.323,0.000121223
0.34,0.000129391
0.357,0.000137961
0.374,0.000146964
0.391,0.000156434
0.408,0.000166406
0.425,0.000176917
0.442,0.000188006
0.459,0.000199717
0.476,0.000212102
0.493,0.000225257
0.51,0.000238912
0.527,0.000252926
0.544,0.00026741
0.561,0.00028243
0.578,0.000297999
0.595,0.000314108
0.612,0.000330742
0.629,0.000347881
0.646,0.000365501
0.663,0.000383579
0.68,0.000402092
0.697,0.000421014
0.714,0.000440321
0.731,0.000459991
0.748,0.000479998
0.765,0.000500322
0.782,0.000520941
0.799,0.000541836
0.816,0.000562984
0.833,0.000584372
0.85,0.000605977
0.867,0.000627786
0.884,0.000649784
0.901,0.000671953
0.918,0.000694281
0.935,0.000716753
0.952,0.000739359
0.969,0.000762085
0.986,0.000784921
1,0.0008038

