Ld_con TotalCurrent(sat_dgate_tspace14) X,Ld_con TotalCurrent(sat_dgate_tspace14) Y
0,7.47155e-09
0.017,1.20545e-08
0.034,1.9342e-08
0.051,3.08546e-08
0.068,4.89143e-08
0.085,7.70266e-08
0.102,1.20413e-07
0.119,1.86723e-07
0.136,2.86954e-07
0.153,4.36533e-07
0.17,6.56506e-07
0.187,9.74567e-07
0.204,1.42575e-06
0.221,2.05227e-06
0.238,2.90244e-06
0.255,4.02861e-06
0.272,5.48456e-06
0.289,7.32278e-06
0.306,9.5934e-06
0.323,1.23433e-05
0.34,1.56174e-05
0.357,1.94596e-05
0.374,2.39134e-05
0.391,2.90265e-05
0.408,3.48498e-05
0.425,4.14385e-05
0.442,4.88617e-05
0.459,5.72131e-05
0.476,6.60014e-05
0.493,7.54033e-05
0.51,8.55694e-05
0.527,9.65079e-05
0.544,0.000108197
0.561,0.000120608
0.578,0.000133709
0.595,0.000147463
0.612,0.00016183
0.629,0.000176767
0.646,0.000192234
0.663,0.000208189
0.68,0.000224591
0.697,0.000241401
0.714,0.000258582
0.731,0.000276099
0.748,0.00029392
0.765,0.000312012
0.782,0.000330348
0.799,0.000348901
0.816,0.000367646
0.833,0.000386561
0.85,0.000405623
0.867,0.000424814
0.884,0.000444114
0.901,0.000463506
0.918,0.000482975
0.935,0.000502505
0.952,0.000522082
0.969,0.000541693
0.986,0.000561325
1,0.000577501

