Tspace,Cgg,Cdg,Ilow ,Ihigh,Ieff,Cin,Cout,Ceff,Ceff with load,Tau,Tau with load
2,1.08E-15,2.61E-16,0.0002011,0.0007861,0.0004936,3.23E-15,7.83E-16,4.79E-15,1.05E-13,1.18E-18,2.59E-17
6,1.08E-15,1.93E-16,0.0001352,0.000692,0.0004136,3.25E-15,5.78E-16,4.41E-15,1.04E-13,9.11E-19,2.16E-17
10,1.16E-15,1.95E-16,9.86E-05,6.41E-04,0.000369762,3.49E-15,5.86E-16,4.66E-15,1.05E-13,8.62E-19,1.94E-17
14,9.47E-16,1.44E-16,3.26E-05,5.10E-04,2.71E-04,2.84E-15,4.33E-16,3.71E-15,1.04E-13,5.02E-19,1.41E-17
18,9.22E-16,1.44E-16,2.41E-05,4.74E-04,0.000249135,2.76E-15,4.32E-16,3.63E-15,1.04E-13,4.52E-19,1.29E-17
22,8.58E-16,1.38E-16,1.79E-05,4.23E-04,0.000220605,2.57E-15,4.15E-16,3.40E-15,1.03E-13,3.75E-19,1.14E-17
26,5.22E-16,1.04E-16,1.20E-05,1.97E-04,0.000104485,1.57E-15,3.12E-16,2.19E-15,1.02E-13,1.14E-19,5.34E-18
30,4.30E-16,9.95E-17,7.83E-06,1.31E-04,6.93E-05,1.29E-15,2.99E-16,1.89E-15,1.02E-13,6.54E-20,3.53E-18
,,,,,,,,,,,
,,,,,,,,,,,
