Tspace,Cgg,Cdg,Ilow ,Ihigh,Ieff,Cin,Cout,Ceff,Ceff with load,Tau,Tau with load
2,1.08E-15,-2.61E-16,0.0002011,0.0007861,0.0004936,3.01E-15,7.84E-16,4.5765E-15,1.04577E-13,4.64E-12,1.06E-10
6,1.08E-15,-1.93E-16,0.0001352,0.000692,0.0004936,3.24E-15,7.84E-16,4.8072E-15,1.04807E-13,4.87E-12,1.06E-10
10,1.16E-15,-1.95E-16,9.86E-05,6.41E-04,0.0004136,3.24E-15,-5.79E-16,2.082E-15,1.02082E-13,2.52E-12,1.23E-10
14,9.47E-16,-1.44E-16,3.26E-05,5.10E-04,0.0003698,3.48E-15,-5.85E-16,2.31E-15,1.0231E-13,3.12E-12,1.38E-10
18,9.22E-16,-1.44E-16,2.41E-05,4.74E-04,0.0002713,2.84E-15,-4.32E-16,1.977E-15,1.01977E-13,3.64E-12,1.88E-10
22,8.58E-16,-1.38E-16,1.79E-05,4.23E-04,0.00024905,2.77E-15,-4.32E-16,1.902E-15,1.01902E-13,3.82E-12,2.05E-10
26,5.22E-16,-1.04E-16,1.20E-05,1.97E-04,0.00022045,2.57E-15,-4.14E-16,1.746E-15,1.01746E-13,3.96E-12,2.31E-10
30,4.30E-16,-9.95E-17,7.83E-06,1.31E-04,0.0001045,1.57E-15,-3.12E-16,9.42E-16,1.00942E-13,4.51E-12,4.83E-10
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,1.08E-15,2.95E-16,0.000347,0.000934,,,,,,
,,1.09E-15,2.25E-16,0.0002041,0.0007684,,,,,,
,,1.18E-15,2.06E-16,0.0001378,0.0006881,,,,,,
,,1.02E-15,1.49E-16,8.85E-05,5.89E-04,,,,,,
,,9.81E-16,1.45E-16,3.83E-05,4.98E-04,,,,,,
,,9.26E-16,1.41E-16,1.95E-05,4.48E-04,,,,1.00E-15,2.61E-16,
,,6.55E-16,1.16E-16,1.96E-05,3.18E-04,,,,,,
,,4.30E-16,9.96E-17,7.83E-06,1.31E-04,,,,,,
